N,quadrant,species,specimen
3.558803388,UR,A. rupestris,Arup_1
3.528323232,UR,A. rupestris,Arup_1
3.523566837,UR,A. rupestris,Arup_1
2.9881929,UR,A. rupestris,Arup_1
4.281844077,UR,A. rupestris,Arup_1
4.955457486,UR,A. rupestris,Arup_1
3.751609008,UR,A. rupestris,Arup_1
4.941168687,UR,A. rupestris,Arup_1
4.639113087,UR,A. rupestris,Arup_1
5.992998858,UL,A. rupestris,Arup_1
3.211615974,UR,A. rupestris,Arup_1
4.09550127,UR,A. rupestris,Arup_1
4.421868423,UR,A. rupestris,Arup_1
4.081359576,UR,A. rupestris,Arup_1
6.448082886,UR,A. rupestris,Arup_1
4.198268823,UR,A. rupestris,Arup_1
7.786051896,UR,A. rupestris,Arup_1
6.731877852,UR,A. rupestris,Arup_1
5.396439048,UL,A. rupestris,Arup_1
4.772723655,UL,A. rupestris,Arup_1
4.658982069,UL,A. rupestris,Arup_1
6.239085909,UL,A. rupestris,Arup_1
5.049379125,UR,A. rupestris,Arup_1
3.653744955,UR,A. rupestris,Arup_1
6.716775072,UR,A. rupestris,Arup_1
6.279863415,UR,A. rupestris,Arup_1
6.535649589,UR,A. rupestris,Arup_1
10.13062119,UR,A. rupestris,Arup_1
7.256356212,UR,A. rupestris,Arup_1
7.752315816,UL,A. rupestris,Arup_1
8.09126535,UL,A. rupestris,Arup_1
7.569405459,UL,A. rupestris,Arup_1
7.484172822,UL,A. rupestris,Arup_1
6.69553311,UL,A. rupestris,Arup_1
14.03863224,UL,A. rupestris,Arup_1
5.62676625,UL,A. rupestris,Arup_1
4.069551948,UL,A. rupestris,Arup_1
2.546936742,UL,A. rupestris,Arup_1
5.74719621,UR,A. rupestris,Arup_1
8.130179526,UR,A. rupestris,Arup_1
6.552037086,UR,A. rupestris,Arup_1
7.413219177,UR,A. rupestris,Arup_1
9.327114069,UR,A. rupestris,Arup_1
7.375413192,UR,A. rupestris,Arup_1
10.82821272,UL,A. rupestris,Arup_1
9.281472291,UL,A. rupestris,Arup_1
12.03539558,UL,A. rupestris,Arup_1
5.900499234,UL,A. rupestris,Arup_1
8.96389221,UL,A. rupestris,Arup_1
13.28528792,UL,A. rupestris,Arup_1
6.655206726,UL,A. rupestris,Arup_1
6.3019782,UL,A. rupestris,Arup_1
6.634151097,UL,A. rupestris,Arup_1
9.173536449,LR,A. rupestris,Arup_1
6.764240952,LR,A. rupestris,Arup_1
7.202662887,LR,A. rupestris,Arup_1
6.211341906,LR,A. rupestris,Arup_1
11.26250591,LR,A. rupestris,Arup_1
9.626423709,LR,A. rupestris,Arup_1
11.39712659,LL,A. rupestris,Arup_1
9.552361245,LL,A. rupestris,Arup_1
10.31852331,LL,A. rupestris,Arup_1
8.611487472,LL,A. rupestris,Arup_1
8.322190779,LL,A. rupestris,Arup_1
13.76472273,LL,A. rupestris,Arup_1
6.909482622,LL,A. rupestris,Arup_1
5.359907973,LL,A. rupestris,Arup_1
8.561726754,LR,A. rupestris,Arup_1
6.474218541,LR,A. rupestris,Arup_1
8.357025243,LR,A. rupestris,Arup_1
7.712077695,LR,A. rupestris,Arup_1
8.379179256,LR,A. rupestris,Arup_1
7.882680267,LL,A. rupestris,Arup_1
9.150195789,LL,A. rupestris,Arup_1
10.31852331,LL,A. rupestris,Arup_1
6.908609799,LL,A. rupestris,Arup_1
13.99816856,LL,A. rupestris,Arup_1
7.179910647,LL,A. rupestris,Arup_1
2.981828157,LR,A. rupestris,Arup_1
6.400891602,LR,A. rupestris,Arup_1
7.773371445,LR,A. rupestris,Arup_1
8.533119735,LR,A. rupestris,Arup_1
5.377482117,LR,A. rupestris,Arup_1
5.217373035,LL,A. rupestris,Arup_1
8.271704343,LL,A. rupestris,Arup_1
8.83591086,LL,A. rupestris,Arup_1
6.524616714,LL,A. rupestris,Arup_1
4.951515072,LL,A. rupestris,Arup_1
3.75274662,LL,A. rupestris,Arup_1
7.398577326,LR,A. rupestris,Arup_1
7.667132214,LR,A. rupestris,Arup_1
6.957634992,LR,A. rupestris,Arup_1
8.176958916,LR,A. rupestris,Arup_1
6.563805486,LL,A. rupestris,Arup_1
8.936618943,LL,A. rupestris,Arup_1
5.029657248,LL,A. rupestris,Arup_1
6.282472077,LR,A. rupestris,Arup_1
6.194179656,LR,A. rupestris,Arup_1
4.303223337,LL,A. rupestris,Arup_1
5.751825114,LL,A. rupestris,Arup_1
0.424515609,UR,A. rupestris,Arup_2
1.403705331,UR,A. rupestris,Arup_2
